,Feature,Score
891,max_contractst_545M_dd67cff0,10.679025085012585
271,mean_dateofcredstart_739D,10.505661725218813
394,max_pmts_year_507T,10.47657456890625
412,inittransactioncode_186L_NDF,10.425622281809991
290,mean_instlamount_768A,10.307106089879154
618,max_familystate_726L_MARRIED,10.236690241536124
161,min_downpmt_134A,10.119679351817616
245,min_amount_4917619A,10.011741539725463
704,max_education_927M_P33_146_175,9.676421629071639
407,disbursementtype_67L_DD,9.605873376480986
209,count_familystate_447L,9.60523469482316
1060,max_financialinstitution_382M_d6a7d943,9.484666207487999
690,max_credacc_cards_status_52L_BLOCKED,9.438091395368486
640,max_postype_4733339M_P177_117_192,9.373157628535653
1134,max_financialinstitution_591M_d5809fcf,9.328328327006906
742,max_familystate_447L_nan,9.091853425523228
417,lastapprcommoditycat_1041M_P109_133_183,9.091255763484899
85,sellerplacescnt_216L,9.029828536770935
31,isbidproduct_1095L,9.02426976148982
1148,max_financialinstitution_591M_e9bfdb5c,8.903881660499994
956,max_contractst_964M_ca72db6c,8.903881660499994
781,max_relationshiptoclient_642T_OTHER_RELATIVE,8.881223999807892
770,max_relationshiptoclient_415T_OTHER_RELATIVE,8.881223999807892
1067,max_financialinstitution_382M_dcb42d2c,8.79000948452186
563,lastrejectreasonclient_4145040M_P5_143_178,8.759997520760333
23,downpmt_116A,8.756087633183473
312,max_numberofcontrsvalue_358L,8.495919824349665
386,min_pmts_overdue_1152A,8.305065897875279
1212,max_purposeofcred_874M_e19fdece,8.26480614796924
164,sum_downpmt_134A,8.244347831453602
411,inittransactioncode_186L_CASH,8.112668809392657
403,credtype_322L_CAL,8.112668809392657
408,disbursementtype_67L_GBA,8.055934212046049
311,mean_numberofcontrsvalue_358L,7.989690281574799
328,max_overdueamountmaxdatemonth_284T,7.651886570846148
331,max_overdueamountmaxdatemonth_365T,7.425434229450533
402,bankacctype_710L_nan,7.407449114563548
401,bankacctype_710L_CA,7.4074491145360435
122,mean_byoccupationinc_3656910L,7.3272529133277375
964,max_contractst_964M_d692b98e,7.1532639344876126
1075,max_financialinstitution_382M_e3b74e00,7.1532639344876126
1118,max_financialinstitution_591M_b311e4b2,7.1532639344876126
1138,max_financialinstitution_591M_d80abc0d,7.133026671781623
351,mean_residualamount_856A,7.050962941564
620,max_familystate_726L_WIDOWED,6.9982808890702355
310,min_numberofcontrsvalue_358L,6.981617385030542
37,lastrejectcredamount_222A,6.966136486867141
1050,max_financialinstitution_382M_cc2c2610,6.94352048440689
930,max_contractst_964M_b2f1bf5c,6.921835529318723
1188,min_purposeofcred_874M_27b6de28,6.802363973672555
11,clientscnt12m_3712952L,6.778998403146196
966,max_contractst_964M_d7416962,6.521293606491789
712,max_empl_industry_691L_AGRICULTURE,6.43385467003123
513,lastcancelreason_561M_P5_143_178,6.368862347266488
737,max_familystate_447L_DIVORCED,6.330339935388346
762,max_language1_981M_a55475b1,6.224353139139752
935,max_contractst_964M_b6834721,6.218719043587063
330,mean_overdueamountmaxdatemonth_365T,6.1931177282422025
121,max_byoccupationinc_3656910L,6.175898957699049
725,max_empl_industry_691L_MANUFACTURING,6.10866046826126
635,max_isdebitcard_527L_True,6.059795658537168
211,min_mainoccupationinc_384A,5.8918131955844455
210,max_mainoccupationinc_384A,5.8918131955844455
580,lastst_736L_T,5.836730333493476
298,max_lastupdate_388D,5.781482340552037
316,max_numberofinstls_320L,5.694611935694655
719,max_empl_industry_691L_GAMING,5.645369608238318
768,max_relationshiptoclient_415T_NEIGHBOR,5.559921393113575
779,max_relationshiptoclient_642T_NEIGHBOR,5.559921393113575
689,max_credacc_cards_status_52L_ACTIVE,5.558084164500687
709,max_empl_employedtotal_800L_MORE_FIVE,5.4957514973967045
291,max_instlamount_768A,5.484350376800969
616,max_familystate_726L_DIVORCED,5.420136618311256
292,sum_instlamount_768A,5.3461367191397
139,min_credacc_maxhisbal_375A,5.064302520414717
259,max_processingdate_168D,4.945712624736752
572,lastst_736L_H,4.821502269886073
315,mean_numberofinstls_320L,4.81413800666937
629,max_isbidproduct_390L_True,4.766160034378548
649,max_rejectreason_755M_P198_131_9,4.756925224708738
151,min_credamount_590A,4.7228314608304
12,clientscnt6m_3712949L,4.593399971562357
679,max_status_219L_T,4.488550865463173
276,max_dateofrealrepmt_138D,4.476671302259119
249,max_deductiondate_4917603D,4.463081730750055
908,max_contractst_964M_89721976,4.451801979550925
1054,max_financialinstitution_382M_d05e3fde,4.451801979550925
601,max_credacc_status_367L_CR,4.233918232962546
53,maxinstallast24m_3658928A,4.178783288522835
590,education_1103M_717ddd49,4.0995574906575225
179,mean_isdebitcard_527L,4.090748366793444
717,max_empl_industry_691L_EDUCATION,4.05033484206745
260,count_num_group1_cb_a_1,4.045175286542896
1129,max_financialinstitution_591M_cb830fec,4.026001771430704
1051,max_financialinstitution_382M_cc8de998,3.9391807170475515
231,count_num_group1_person2,3.8542872052739416
232,count_num_group2_person2,3.8542872052739416
410,disbursementtype_67L_nan,3.8213585314155747
1178,min_purposeofcred_426M_a55475b1,3.8016593722630954
521,lastcancelreason_561M_P73_130_169,3.703655533015679
428,lastapprcommoditycat_1041M_P148_110_5,3.6153246211629355
357,mean_totalamount_996A,3.6107579525700344
937,max_contractst_964M_b83056f9,3.5991708041175468
141,mean_credacc_maxhisbal_375A,3.591714776496749
309,sum_numberofcontrsvalue_258L,3.5572981079049
416,lastapprcommoditycat_1041M_P105_126_172,3.526047992626984
387,mean_pmts_overdue_1152A,3.460789929131553
